ImageFile	TimePoint01	TimePoint02	TimePoint03	TimePoint04	TimePoint05	TimePoint06	TimePoint07	TimePoint08	
Plate4-replicate1_A01_Field10.tif	0	90	180	280	376	469	564	658	
Plate4-replicate1_A01_Field11.tif	0	90	180	280	376	469	564	658	
Plate4-replicate1_A01_Field12.tif	0	90	180	280	376	469	564	658	
Plate4-replicate1_A01_Field13.tif	0	90	180	280	376	469	564	658	
Plate4-replicate1_A01_Field14.tif	0	90	180	280	376	469	564	659	
Plate4-replicate1_A01_Field15.tif	0	90	180	280	376	469	564	659	
Plate4-replicate1_A01_Field16.tif	0	90	180	280	376	469	564	659	
Plate4-replicate1_A01_Field17.tif	0	90	180	280	376	469	564	659	
Plate4-replicate1_A01_Field18.tif	0	90	180	280	376	469	564	659	
Plate4-replicate1_A01_Field19.tif	0	90	180	280	376	469	564	659	
Plate4-replicate1_A01_Field01.tif	0	90	180	279	375	469	563	658	
Plate4-replicate1_A01_Field20.tif	0	90	180	280	376	469	564	659	
Plate4-replicate1_A01_Field21.tif	0	90	181	280	376	469	564	659	
Plate4-replicate1_A01_Field22.tif	0	90	181	280	376	470	564	659	
Plate4-replicate1_A01_Field23.tif	0	90	181	280	376	470	564	659	
Plate4-replicate1_A01_Field24.tif	0	90	181	280	376	470	564	659	
Plate4-replicate1_A01_Field25.tif	0	90	181	280	376	470	564	659	
Plate4-replicate1_A01_Field26.tif	0	90	181	280	376	470	564	659	
Plate4-replicate1_A01_Field27.tif	0	91	181	280	376	470	564	659	
Plate4-replicate1_A01_Field28.tif	0	90	180	279	375	469	563	658	
Plate4-replicate1_A01_Field02.tif	0	90	180	280	375	469	563	658	
Plate4-replicate1_A01_Field03.tif	0	90	180	280	375	469	563	658	
Plate4-replicate1_A01_Field04.tif	0	90	180	280	375	469	563	658	
Plate4-replicate1_A01_Field05.tif	0	90	180	280	376	469	563	658	
Plate4-replicate1_A01_Field06.tif	0	90	180	280	376	469	563	658	
Plate4-replicate1_A01_Field07.tif	0	90	180	280	376	469	563	658	
Plate4-replicate1_A01_Field08.tif	0	90	180	280	376	469	563	658	
Plate4-replicate1_A01_Field09.tif	0	90	180	280	376	469	564	658	
Plate4-replicate1_A02_Field10.tif	0	90	182	282	377	471	566	660	
Plate4-replicate1_A02_Field11.tif	0	90	182	282	377	471	566	660	
Plate4-replicate1_A02_Field12.tif	0	91	182	282	377	471	566	660	
Plate4-replicate1_A02_Field13.tif	0	91	182	282	377	471	566	660	
Plate4-replicate1_A02_Field14.tif	0	91	182	282	377	471	566	660	
Plate4-replicate1_A02_Field15.tif	0	91	182	283	377	471	566	660	
Plate4-replicate1_A02_Field16.tif	0	91	182	283	378	471	566	660	
Plate4-replicate1_A02_Field17.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field18.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field19.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field01.tif	0	91	182	283	378	472	566	661	
Plate4-replicate1_A02_Field20.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field21.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field22.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field23.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field24.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field25.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field26.tif	0	91	182	283	378	471	566	661	
Plate4-replicate1_A02_Field27.tif	0	91	182	283	378	471	566	661	
