ImageFile	TimePoint01	TimePoint02	TimePoint03	TimePoint04	TimePoint05	TimePoint06	TimePoint07	TimePoint08	
Plate9-replicate1_A01_Field10.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field11.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field12.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field13.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field14.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field15.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field16.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field17.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field18.tif	0	90	184	279	372	463	556	649	
Plate9-replicate1_A01_Field19.tif	0	90	184	279	372	463	556	649	
Plate9-replicate1_A01_Field01.tif	0	90	184	278	371	463	556	649	
Plate9-replicate1_A01_Field20.tif	0	90	184	279	372	463	556	649	
Plate9-replicate1_A01_Field21.tif	0	90	184	279	372	463	556	649	
Plate9-replicate1_A01_Field22.tif	0	90	184	279	372	464	556	649	
Plate9-replicate1_A01_Field23.tif	0	91	184	279	372	464	556	649	
Plate9-replicate1_A01_Field24.tif	0	91	185	279	372	464	556	650	
Plate9-replicate1_A01_Field25.tif	0	91	185	279	372	464	556	650	
Plate9-replicate1_A01_Field26.tif	0	91	185	279	372	464	556	650	
Plate9-replicate1_A01_Field27.tif	0	90	184	278	371	463	555	649	
Plate9-replicate1_A01_Field28.tif	0	90	184	278	371	463	555	649	
Plate9-replicate1_A01_Field02.tif	0	90	184	278	371	463	556	649	
Plate9-replicate1_A01_Field03.tif	0	90	184	278	371	463	556	649	
Plate9-replicate1_A01_Field04.tif	0	90	184	278	371	463	556	649	
Plate9-replicate1_A01_Field05.tif	0	90	184	278	371	463	556	649	
Plate9-replicate1_A01_Field06.tif	0	90	184	278	371	463	556	649	
Plate9-replicate1_A01_Field07.tif	0	90	184	278	371	463	556	649	
Plate9-replicate1_A01_Field08.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A01_Field09.tif	0	90	184	279	371	463	556	649	
Plate9-replicate1_A02_Field10.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field11.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field12.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field13.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field14.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field15.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field16.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field17.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field18.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field19.tif	0	92	187	282	375	466	559	652	
Plate9-replicate1_A02_Field01.tif	0	92	187	281	374	466	558	652	
Plate9-replicate1_A02_Field20.tif	0	92	187	282	375	466	559	653	
Plate9-replicate1_A02_Field21.tif	0	92	188	282	375	466	559	653	
Plate9-replicate1_A02_Field22.tif	0	93	188	282	375	466	559	653	
Plate9-replicate1_A02_Field23.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A02_Field24.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A02_Field25.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A02_Field26.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A02_Field27.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A02_Field28.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A02_Field02.tif	0	92	187	281	374	466	558	652	
Plate9-replicate1_A02_Field03.tif	0	92	187	281	374	466	559	652	
Plate9-replicate1_A02_Field04.tif	0	92	187	281	374	466	559	652	
Plate9-replicate1_A02_Field05.tif	0	92	187	281	374	466	559	652	
Plate9-replicate1_A02_Field06.tif	0	92	187	281	374	466	559	652	
Plate9-replicate1_A02_Field07.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field08.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A02_Field09.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field10.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field11.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field12.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field13.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field14.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field15.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field16.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field17.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field18.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field19.tif	0	92	187	282	374	466	559	652	
Plate9-replicate1_A03_Field01.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A03_Field20.tif	0	92	187	282	375	466	559	652	
Plate9-replicate1_A03_Field21.tif	0	92	187	282	375	466	559	653	
Plate9-replicate1_A03_Field22.tif	0	92	188	282	375	466	559	653	
Plate9-replicate1_A03_Field23.tif	0	92	188	282	375	466	559	653	
Plate9-replicate1_A03_Field24.tif	0	92	188	282	375	467	559	653	
Plate9-replicate1_A03_Field25.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A03_Field26.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A03_Field27.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A03_Field28.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A03_Field02.tif	0	93	188	282	375	467	559	653	
Plate9-replicate1_A03_Field03.tif	0	93	188	282	375	467	560	653	
Plate9-replicate1_A03_Field04.tif	0	93	188	282	375	467	560	653	
Plate9-replicate1_A03_Field05.tif	0	93	188	282	375	467	560	653	
Plate9-replicate1_A03_Field06.tif	0	93	188	282	375	467	560	653	
