Well	Gene_identifier	Gene_Common_Name	Organism	Strain
F10	ygr215w_c11	ygr215w_c11	S. cerevisiae	BY4741
F11	ygr215w_c12	ygr215w_c12	S. cerevisiae	BY4741
F12	-	-	S. cerevisiae	BY4741
G01	ydr508c	gnp1	S. cerevisiae	BY4741
G02	yer111c	swi4	S. cerevisiae	BY4741
G03	yil158w	aim20	S. cerevisiae	BY4741
G04	ybl002w	htb2	S. cerevisiae	BY4741
G05	ykl011c_c13	ykl011c_c13	S. cerevisiae	BY4741
G06	ykl011c_c14	ykl011c_c14	S. cerevisiae	BY4741
G07	ygr188c_c13	ygr188c_c13	S. cerevisiae	BY4741
G08	ygr188c_c14	ygr188c_c14	S. cerevisiae	BY4741
G09	ygr188c	bub1	S. cerevisiae	BY4741
G10	ygr215w_c13	ygr215w_c13	S. cerevisiae	BY4741
G11	ygr215w_c14	ygr215w_c14	S. cerevisiae	BY4741
G12	-	-	S. cerevisiae	BY4742
H01	ydr528w	hlr1	S. cerevisiae	BY4741
H02	yer128w	vfa1	S. cerevisiae	BY4741
H03	yil056w	vhr1	S. cerevisiae	BY4741
H04	ymr263w	sap30	S. cerevisiae	BY4741
H05	ykl011c_c15	ykl011c_c15	S. cerevisiae	BY4741
H06	ykl011c_c16	ykl011c_c16	S. cerevisiae	BY4741
H07	ygr188c_c15	ygr188c_c15	S. cerevisiae	BY4741
H08	ygr188c_c16	ygr188c_c16	S. cerevisiae	BY4741
H09	ygr215w	rsm27	S. cerevisiae	BY4741
H10	ygr215w_c15	ygr215w_c15	S. cerevisiae	BY4741
H11	ygr215w_c16	ygr215w_c16	S. cerevisiae	BY4741
H12	ykl080w	vma5	S. cerevisiae	BY4741
